Bin name	Completeness	Genome size	GC content
ERR209083.001.fasta	35.5%	2327011	41.6
ERR209083.002.fasta	70.1%	1954338	29.7
Bin name	Completeness	Genome size	GC content
ERR209160.001.fasta	53.3%	1400105	45.9
ERR209160.002.fasta	38.3%	2974542	54.3
ERR209160.003.fasta	79.4%	1389666	53.8
ERR209160.004.fasta	69.2%	2704529	40.4
ERR209160.005.fasta	72.0%	4005279	46.2
ERR209160.006.fasta	45.8%	3001123	50.2
ERR209160.007.fasta	46.7%	693784	41.5
ERR209160.008.fasta	78.5%	2030605	31.4
ERR209160.009.fasta	29.9%	737311	41.8
Bin name	Completeness	Genome size	GC content
ERR209225.001.fasta	97.2%	1932485	47.9
ERR209225.002.fasta	80.4%	3707084	41.6
ERR209225.003.fasta	64.5%	2729897	34.5
ERR209225.004.fasta	41.1%	3145864	47.5
ERR209225.005.fasta	60.7%	1806245	25.9
ERR209225.006.fasta	63.6%	1322911	30.7
Bin name	Completeness	Genome size	GC content
ERR209246.001.fasta	96.3%	2875330	38.2
ERR209246.002.fasta	91.6%	3098306	44.1
ERR209246.003.fasta	92.5%	6285692	40.8
ERR209246.004.fasta	64.5%	4615599	48.6
ERR209246.005.fasta	91.6%	4056793	44.2
ERR209246.006.fasta	77.6%	2729703	43.1
ERR209246.007.fasta	72.9%	5760100	36.3
ERR209246.008.fasta	73.8%	3080727	36.8
Bin name	Completeness	Genome size	GC content
ERR209266.001.fasta	39.3%	1289094	45.0
ERR209266.002.fasta	14.0%	1228826	36.5
Bin name	Completeness	Genome size	GC content
ERR209343.001.fasta	49.5%	1462852	41.8
ERR209343.002.fasta	23.4%	2056134	36.1
ERR209343.003.fasta	63.6%	3647815	46.8
ERR209343.004.fasta	57.9%	3237121	42.5
Bin name	Completeness	Genome size	GC content
ERR209354.001.fasta	86.9%	4395142	42.0
ERR209354.002.fasta	21.5%	3433220	35.5
ERR209354.003.fasta	45.8%	2134815	40.8
ERR209354.004.fasta	59.8%	3001682	45.1
ERR209354.005.fasta	50.5%	2825808	47.6
ERR209354.006.fasta	46.7%	3205057	41.0
Bin name	Completeness	Genome size	GC content
ERR209371.001.fasta	0.0%	280662	36.3
ERR209371.002.fasta	43.0%	1687339	39.9
ERR209371.003.fasta	80.4%	1392187	27.4
ERR209371.004.fasta	45.8%	3643652	46.9
ERR209371.005.fasta	91.6%	1553655	29.5
ERR209371.006.fasta	53.3%	2126721	42.9
ERR209371.007.fasta	87.9%	2510399	44.7
ERR209371.008.fasta	52.3%	6129262	40.5
ERR209371.009.fasta	41.1%	1063008	54.0
ERR209371.010.fasta	60.7%	2602171	52.1
ERR209371.011.fasta	81.3%	2466912	41.1
ERR209371.012.fasta	72.9%	6133564	46.0
ERR209371.013.fasta	42.1%	5939300	34.8
ERR209371.014.fasta	45.8%	1891158	42.0
ERR209371.015.fasta	86.0%	1318463	26.7
ERR209371.016.fasta	83.2%	3115222	27.4
ERR209371.017.fasta	42.1%	2782334	40.8
ERR209371.018.fasta	72.0%	2635461	37.8
Bin name	Completeness	Genome size	GC content
ERR209379.001.fasta	86.0%	2853762	53.5
ERR209379.002.fasta	23.4%	2269196	45.1
ERR209379.003.fasta	70.1%	1423658	27.7
ERR209379.004.fasta	64.5%	804860	30.5
ERR209379.005.fasta	59.8%	1111341	26.4
Bin name	Completeness	Genome size	GC content
ERR209415.001.fasta	90.7%	7553095	40.8
ERR209415.002.fasta	57.0%	4550426	46.5
ERR209415.003.fasta	83.2%	2245110	42.6
ERR209415.004.fasta	50.5%	3109077	50.8
ERR209415.005.fasta	48.6%	3264086	40.9
ERR209415.006.fasta	25.2%	4736428	35.4
ERR209415.007.fasta	57.0%	2634178	43.6
ERR209415.008.fasta	51.4%	2807597	43.4
Bin name	Completeness	Genome size	GC content
ERR209439.001.fasta	81.3%	4178636	43.9
ERR209439.002.fasta	94.4%	2746619	35.2
ERR209439.003.fasta	82.2%	3273372	49.7
ERR209439.004.fasta	62.6%	4905943	39.3
ERR209439.005.fasta	59.8%	2413442	39.4
ERR209439.006.fasta	64.5%	2204292	43.8
ERR209439.007.fasta	63.6%	2747871	43.4
ERR209439.008.fasta	66.4%	3622892	48.3
ERR209439.009.fasta	54.2%	3994758	43.3
ERR209439.010.fasta	52.3%	3458290	34.5
ERR209439.011.fasta	74.8%	2578009	29.4
ERR209439.012.fasta	68.2%	1823229	38.5
ERR209439.013.fasta	11.2%	1462642	34.4
Bin name	Completeness	Genome size	GC content
ERR209448.001.fasta	93.5%	3274607	45.7
ERR209448.002.fasta	62.6%	2649986	44.9
ERR209448.003.fasta	48.6%	3258981	38.8
ERR209448.004.fasta	99.1%	2463738	31.6
ERR209448.005.fasta	79.4%	4374242	45.6
ERR209448.006.fasta	39.3%	1301067	37.6
Bin name	Completeness	Genome size	GC content
ERR209470.001.fasta	0.0%	272165	29.2
ERR209470.002.fasta	94.4%	1632351	29.2
ERR209470.003.fasta	10.3%	881095	39.4
ERR209470.004.fasta	97.2%	1950884	28.3
ERR209470.005.fasta	57.9%	1088729	25.9
ERR209470.006.fasta	90.7%	4544347	45.3
ERR209470.007.fasta	92.5%	1276298	28.1
ERR209470.008.fasta	89.7%	904764	35.2
ERR209470.009.fasta	95.3%	3610127	37.3
ERR209470.010.fasta	87.9%	1209396	25.1
ERR209470.011.fasta	42.1%	1519813	53.7
ERR209470.012.fasta	68.2%	1854355	26.5
ERR209470.013.fasta	52.3%	370014	26.3
ERR209470.014.fasta	76.6%	805368	26.8
ERR209470.015.fasta	33.6%	1260963	24.7
ERR209470.016.fasta	66.4%	2587238	51.2
ERR209470.017.fasta	94.4%	2579806	27.8
ERR209470.018.fasta	47.7%	2342646	48.0
ERR209470.019.fasta	58.9%	2553581	47.1
ERR209470.020.fasta	69.2%	4965592	41.8
ERR209470.021.fasta	46.7%	4621847	35.6
ERR209470.022.fasta	55.1%	1576589	44.6
ERR209470.023.fasta	66.4%	1434088	28.7
ERR209470.024.fasta	72.0%	1479243	32.8
ERR209470.025.fasta	58.9%	2217162	33.3
